Latitude,Longitude,Mean_daily_range,Volume,Supply_air_temperature,Nb_of_people,Relative_humidity,Space_type,Wall_area,Door_area,Partition_area,Roof_area,Window_area,Skylight_area,Spaces,Cooling_load,Heating_load
42,71,9,32868,12,132,46,0,1163,48,0,4297,0,0,12,394065,285599
42,71,9,4974,12,29,46,0,549,39,0,953,0,0,17,90245,72094
42,71,9,2721,12,18,46,0,451,30,0,584,0,0,14,56260,47170
42,71,9,2173,12,15,46,0,430,26,0,485,0,0,11,46403,40417
42,71,9,10179,12,53,46,0,741,36,0,1724,0,0,11,159785,121973
42,71,9,7326,12,40,46,0,650,18,0,1309,0,0,5,123448,95258
42,71,9,6159,12,34,46,0,707,36,0,1133,0,0,13,106589,86168
42,71,9,1822,12,13,46,0,414,30,0,418,0,0,8,40554,36160
42,71,9,16273,12,75,46,0,873,40,0,2433,0,0,9,225142,168065
42,71,9,115366,12,364,46,0,2174,46,0,11763,0,0,14,1072795,753857
42,71,9,198239,12,522,46,0,2206,38,0,16818,0,0,8,1527769,1053557
42,71,9,2425,12,16,46,0,426,22,0,520,0,0,6,50557,42568
42,71,9,8892,12,47,46,0,767,26,0,1541,0,0,6,144655,111990
42,71,9,12967,12,61,46,0,739,80,0,2011,0,0,15,185827,139636
42,71,9,442,12,4,46,0,169,2,0,106,0,0,1,11076,11157
42,71,9,2869,12,18,46,0,456,30,0,604,0,0,9,57396,48243
42,71,9,6219,12,34,46,0,552,60,0,1108,0,0,15,103225,80599
42,71,9,5227,12,32,46,0,659,50,0,1053,0,0,12,100142,80528
42,71,9,4799,12,29,46,0,576,48,0,947,0,0,16,89700,71835
42,71,9,90809,12,301,46,0,1955,18,0,9695,0,0,6,886633,626422
42,71,9,7407,12,41,46,0,662,22,0,1331,0,0,7,124357,96767
42,71,9,2517,12,16,46,0,419,8,0,533,0,0,5,51730,43313
42,71,9,3854,12,23,46,0,451,26,0,738,0,0,9,69820,56337
42,71,9,2199,12,14,46,0,369,40,0,467,0,0,9,45016,38292
42,71,9,4431,12,28,46,0,626,30,0,896,0,0,6,86394,70995
42,71,9,33699,12,134,46,0,1152,40,0,4363,0,0,10,400582,288972
42,71,9,2814,12,19,46,0,527,24,0,613,0,0,9,59102,50976
42,71,9,4037,12,23,46,0,462,44,0,772,0,0,12,72986,58772
42,71,9,12250,12,65,46,0,938,54,0,2136,0,0,11,199585,152861
42,71,9,4956,12,29,46,0,571,36,0,955,0,0,7,91107,73107
42,71,9,5287,12,33,46,0,813,42,0,1071,0,0,10,103105,86314
42,71,9,1859,12,13,46,0,408,56,0,422,0,0,11,41279,37096
42,71,9,114200,12,377,46,0,2177,22,0,12161,0,0,7,1110552,777512
42,71,9,5022,12,30,46,0,580,24,0,975,0,0,7,92658,73633
42,71,9,11176,12,56,46,0,740,22,0,1825,0,0,7,169278,128037
42,71,9,2098,12,14,46,0,398,26,0,460,0,0,11,45068,38590
42,71,9,38932,12,154,46,0,1247,16,0,4969,0,0,5,457170,327936
42,71,9,81765,12,266,46,0,1572,38,0,8584,0,0,7,783418,549931
42,71,9,3526,12,21,46,0,450,60,0,687,0,0,11,65753,54297
42,71,9,10419,12,53,46,0,750,32,0,1737,0,0,8,161616,123583
42,71,9,1558,12,11,46,0,355,18,0,353,0,0,5,34537,31097
42,71,9,2507,12,16,46,0,417,58,0,542,0,0,14,51497,43753
42,71,9,2599,12,18,46,0,539,28,0,592,0,0,10,58035,50074
42,71,9,10051,12,51,46,0,699,18,0,1651,0,0,4,154101,117240
